Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
64,178,82,25,111,40.8,211
20,170,68,8,85,39.4,29
22,171,69,21,95,40.1,99
27,169,69,27,116,41.1,190
36,190,95,7,83,39.5,22
59,191,92,30,110,41,247
36,206,103,5,84,39,17
71,160,65,8,86,39.7,37
21,167,67,21,103,40.4,117
56,188,90,10,91,39.7,52
68,166,64,2,75,37.9,7
75,172,74,10,98,39.7,68
48,176,84,17,89,40.4,74
62,185,91,24,97,40.6,154
53,156,60,26,104,40.7,165
47,187,89,17,97,39.9,96
39,188,91,13,101,39.8,77
54,168,63,17,92,40.3,86
38,201,104,21,101,40.6,129
39,149,51,26,100,40.4,151
51,182,81,28,106,40.9,197
30,193,92,13,104,40.3,77
33,156,61,5,90,39.1,22
47,182,82,27,100,40.7,161
64,155,55,25,114,40.8,192
37,159,58,8,90,39.2,37
41,188,91,20,106,40.5,135
61,179,77,11,90,40,55
38,169,71,10,84,39.8,29
21,185,88,12,97,39.9,52
26,173,73,1,69,37.9,2
48,183,81,21,94,40.6,106
71,183,80,6,84,39,28
73,199,97,22,107,40.9,189
65,158,61,26,111,41,190
57,149,56,13,91,39.9,66
49,185,93,22,99,40.5,135
55,178,79,4,97,38.7,23
20,182,74,12,80,39.9,17
45,163,58,5,84,38.9,21
53,175,75,13,90,40.2,60
46,166,58,10,93,39.6,51
25,198,96,5,85,39.1,15
22,163,65,9,92,40,29
60,164,66,27,110,40.8,190
50,168,62,11,89,40.1,51
61,157,56,17,95,40.5,95
69,165,62,29,112,40.9,216
30,195,92,30,101,41,165
33,164,61,20,105,40.6,122
21,206,105,15,96,40.1,69
39,152,53,20,99,40.9,113
26,180,81,7,92,39.5,26
44,175,80,5,91,39.2,22
58,144,42,12,96,40.1,70
24,177,83,4,83,39.3,9
35,187,91,15,95,40.3,72
21,189,94,25,111,40.6,165
26,181,82,29,105,41,165
30,162,57,15,88,40.3,64
27,182,81,18,105,40.5,103
32,147,51,4,83,39.1,15
30,185,84,9,85,39.6,32
79,160,57,14,85,40,68
39,164,58,25,106,40.6,159
25,188,89,6,92,39.6,23
23,169,70,13,90,40.1,54
47,172,70,2,89,37.8,9
34,182,80,29,120,40.7,240
36,152,54,10,86,39.7,42
63,203,115,14,106,40,117
37,164,59,26,106,40.6,164
50,156,55,23,98,40.8,132
62,191,96,2,85,38.2,9
37,173,67,15,94,40,74
35,169,69,23,96,40.7,116
27,174,79,8,102,39.7,42
55,179,79,24,110,40.6,187
36,173,75,16,94,40.4,70
22,140,45,7,86,39.1,29
20,170,71,9,83,39.8,17
43,185,83,28,108,40.9,195
73,181,76,19,106,40.4,127
22,184,82,14,87,39.9,39
67,155,64,6,88,38.9,28
25,195,100,16,93,40.3,68
41,165,63,17,97,40.5,91
49,181,81,16,97,40.2,89
58,148,53,2,89,37.7,10
27,180,80,28,111,41.2,185
33,172,76,5,79,38.7,16
59,156,58,19,91,40.3,97
21,183,77,13,92,40.2,44
65,155,59,10,95,40,56
22,191,88,21,103,40.4,112
55,192,91,10,81,39.8,37
22,182,82,9,86,39.8,24
35,132,38,30,112,40.5,216
58,203,101,15,101,40.1,106
45,194,103,14,85,39.9,57
62,195,99,18,97,40.3,119
74,162,60,16,97,40.1,96
48,146,46,7,88,39.5,33
23,173,73,23,100,40.7,106
31,184,90,25,106,41,156
53,199,98,14,92,40.4,75
73,189,89,18,99,40.6,130
27,170,66,21,113,40.5,142
40,177,83,22,99,40.5,121
66,162,66,24,99,40.7,143
46,170,73,20,105,40.7,123
75,165,62,26,108,41.1,186
33,162,67,13,94,40.3,53
49,164,59,27,104,40.8,170
37,166,67,15,97,40.2,78
43,167,70,26,113,40.5,182
66,187,82,11,92,40,55
51,161,59,25,101,40.6,150
33,162,56,6,80,39.9,21
48,170,72,6,90,39,26
43,192,95,18,93,40.5,90
48,174,75,16,99,40.7,91
34,186,87,17,95,40.3,79
61,168,66,29,107,41.1,195
48,177,75,10,101,39.9,57
30,162,57,18,98,40.5,96
79,163,61,7,93,39.7,39
67,172,73,4,85,38.6,18
60,184,84,4,85,39.3,17
57,171,76,15,97,40.3,82
34,194,96,19,101,40.5,110
42,157,56,25,106,40.8,161
38,181,82,25,107,40.8,164
43,179,83,5,81,39.5,15
76,189,99,12,96,40.2,85
37,179,79,23,101,40.6,128
23,195,98,14,94,40.2,59
21,205,108,2,84,37.9,6
20,151,54,18,92,40.2,82
23,168,62,25,105,40.5,148
20,170,65,3,76,38.2,8
25,173,71,14,86,40.3,53
24,155,50,16,98,40.2,85
29,157,57,22,99,40.9,120
43,199,106,28,107,40.7,205
26,175,66,4,80,39.1,13
76,176,77,28,107,40.6,192
43,184,89,4,91,38.7,18
73,190,94,7,92,39.3,44
42,198,104,26,103,41.3,172
23,171,65,27,105,40.4,158
22,186,76,6,82,39.5,11
28,176,77,25,96,40.9,108
20,170,64,23,96,40.5,112
36,169,65,14,92,39.7,66
26,201,104,10,88,39.7,36
59,167,72,4,89,38.7,19
22,152,50,10,94,39.5,49
50,170,70,26,100,40.6,149
22,171,77,2,81,38.6,4
52,171,70,28,115,40.6,206
31,169,66,23,94,40.9,111
68,186,98,28,105,41.1,226
48,169,65,11,94,39.3,56
31,186,94,7,92,39.7,30
23,159,60,15,91,40.2,67
24,178,78,22,102,40.7,111
58,172,75,27,107,40.7,199
32,176,69,15,102,40.3,85
21,144,47,2,77,38.1,6
63,200,98,28,105,40.9,219
77,176,82,21,102,39.9,162
49,188,85,25,110,40.5,190
26,189,91,30,108,40.7,190
53,166,64,9,87,39.5,40
31,179,77,9,92,40.1,40
32,165,66,3,75,38.5,8
35,178,71,8,85,39.8,31
66,151,57,21,100,40.7,130
40,157,60,7,89,39.9,32
62,181,87,22,97,40.6,139
24,159,58,3,88,38.5,12
37,185,87,11,96,39.5,55
49,186,86,9,95,39.4,48
32,198,99,24,107,40.4,160
46,164,62,13,94,39.9,67
59,178,75,25,105,41.2,178
42,168,68,17,91,40.4,79
44,184,85,9,85,39.6,32
74,175,77,22,103,40.4,140
68,190,99,14,92,40.3,86
58,184,84,16,97,40.3,97
32,184,80,28,117,40.7,217
34,192,93,21,91,40.6,88
23,160,58,21,106,40.3,127
52,174,69,7,88,39.2,32
28,160,63,5,85,39.1,19
47,172,66,20,103,40.7,121
24,168,68,12,92,39.8,40
73,162,60,9,91,39.8,48
76,192,103,25,100,40.4,195
65,163,69,10,91,39.9,52
29,173,71,4,81,39.1,8
20,178,81,26,104,40.8,136
33,187,90,6,86,39.1,20
33,170,61,3,83,38.7,11
34,174,72,26,103,40.7,144
43,160,60,13,89,40.1,59
47,173,74,10,97,39.8,53
65,187,82,8,90,39.2,38
22,161,62,29,99,40.8,152
28,184,85,8,94,39.4,34
30,157,60,3,87,38.7,12
20,184,84,1,76,37.8,1
32,196,96,28,110,40.9,197
56,171,66,20,103,40,124
67,188,90,15,106,40.3,120
62,207,105,9,88,39.7,48
33,182,73,17,97,40.4,86
46,201,96,25,108,40.3,185
79,191,91,8,90,39.6,49
57,152,57,11,85,40,49
49,167,66,11,87,39.9,48
41,186,87,14,100,40.3,81
38,170,77,19,112,40.3,137
28,189,84,24,98,40.6,115
31,189,84,19,98,40.6,93
48,193,93,8,87,39.5,34
41,179,80,26,106,40.6,170
71,201,103,6,92,39.1,38
30,161,64,26,99,40.7,139
30,167,67,18,94,40.5,86
29,163,59,26,111,40.9,174
34,184,88,5,82,39.1,14
42,167,76,29,108,40.6,197
51,169,68,17,105,40.4,107
35,187,92,19,100,40.5,106
28,172,68,3,85,38.6,11
33,187,80,6,90,39,25
22,160,56,23,98,40.5,120
64,172,73,22,102,40.5,151
57,157,57,18,91,40.1,91
42,157,56,18,95,40.5,95
24,188,91,23,101,40.8,119
49,169,80,3,82,38.4,10
32,184,81,19,99,40.2,96
78,176,80,13,98,40.1,92
53,166,63,24,107,40.7,159
68,195,98,21,105,40.4,169
47,200,108,15,98,40.2,93
51,154,56,15,96,40.6,83
64,158,59,22,92,40.6,116
51,198,94,17,87,40.1,75
23,153,55,26,98,40.8,137
42,148,48,15,94,40.5,79
23,180,75,8,88,39.4,23
70,191,98,4,83,39.1,19
53,189,94,11,88,40,52
28,184,84,16,98,40.1,76
48,182,80,10,92,40,47
43,158,61,22,99,40.6,124
21,178,71,7,89,39.8,28
26,194,92,22,104,40.6,127
53,170,67,19,95,40,101
32,171,68,26,103,40.9,150
24,212,105,9,90,39.8,34
30,194,94,13,93,40.2,56
31,174,69,27,104,41.1,158
21,182,87,22,107,40.6,129
35,186,86,10,93,39.8,44
56,201,105,11,94,39.7,66
34,153,51,28,107,40.8,181
29,153,58,14,101,40.1,79
23,147,51,21,113,40.5,145
22,158,62,28,110,40.7,180
42,183,82,15,98,40.4,81
40,178,73,15,95,40.5,75
28,179,83,2,79,38.1,4
49,198,102,17,100,40.5,110
28,180,79,9,93,39.6,35
56,196,94,5,86,39,23
41,167,61,29,103,41.2,175
38,198,96,27,95,40.6,137
21,140,48,27,106,40.6,166
73,183,90,21,94,40.5,136
48,183,91,24,102,40.4,156
53,172,71,8,89,39.7,37
43,178,82,16,102,40,97
20,172,71,18,99,40.3,77
22,184,85,28,105,40.6,156
50,191,95,11,93,40.1,58
46,184,89,10,95,39.9,53
40,165,62,19,100,40.5,108
71,163,65,11,90,40,56
20,172,76,19,106,40.3,103
68,196,98,22,101,40.1,164
50,172,73,13,98,40.1,73
24,166,71,2,78,38.2,3
25,159,57,15,99,40.2,80
34,196,103,17,96,40.4,88
42,170,75,14,98,40.3,74
29,140,40,16,101,40,94
40,167,66,6,87,39.1,20
77,176,76,9,85,39.3,41
46,177,83,20,98,41,112
78,168,71,12,96,39.7,69
35,186,92,24,99,40.9,130
21,199,100,21,98,40.6,100
45,156,57,27,104,40.6,169
56,172,65,27,108,41,183
74,160,66,29,110,40.8,211
46,180,83,6,86,39.6,23
21,196,92,14,95,40,58
26,180,75,4,77,39.2,5
63,176,79,12,90,39.8,62
34,156,51,3,90,38.7,14
68,205,106,23,107,40.5,196
56,182,87,16,91,39.9,82
21,173,78,28,108,40.7,163
20,173,73,25,99,40.7,108
35,161,62,15,102,40.3,87
25,194,97,18,99,40.4,91
62,148,44,26,108,40.8,186
63,173,66,8,83,39.4,34
46,154,57,11,97,40.2,61
46,175,80,21,97,40.5,113
24,187,87,5,82,39.2,11
43,178,83,13,83,40.3,42
27,157,59,2,81,38.3,7
65,172,80,14,96,39.9,86
63,150,50,7,88,39.4,35
59,199,104,20,102,40.5,146
34,151,51,7,97,39.2,38
57,172,70,28,105,41.2,179
28,192,94,10,85,39.7,30
31,202,98,14,97,40.3,71
30,166,66,16,87,40.2,65
38,176,77,2,80,38.6,5
54,169,71,29,107,40.5,190
54,195,100,9,82,39.6,36
31,193,97,15,92,40.5,64
73,167,69,29,109,40.8,240
75,156,57,27,114,41,212
39,164,73,22,97,40.5,108
26,193,87,5,87,39.2,15
28,157,59,23,111,41,153
58,191,91,10,91,39.6,53
79,202,108,18,99,41,142
26,167,58,15,95,40.2,74
53,159,57,23,105,40.7,150
33,159,53,17,94,40,85
60,181,92,3,88,38.8,15
53,182,81,5,84,39.3,19
26,185,85,3,86,39.1,9
23,179,83,3,91,38.6,10
31,170,64,2,77,38.1,6
20,175,78,24,107,40.5,135
32,168,73,30,111,40.7,201
61,197,104,28,108,41.1,232
27,187,92,13,92,40,52
42,182,84,6,86,39.3,23
22,158,56,18,97,40.4,92
71,165,67,19,91,40.3,99
28,168,62,10,87,39.4,41
38,177,77,26,113,41.1,192
43,173,69,2,79,38.2,7
21,187,84,27,97,40.8,116
38,182,77,21,102,40.5,120
46,180,83,2,90,38,9
49,193,97,3,84,38.5,12
33,181,82,4,89,38.6,14
61,171,66,8,85,39.5,35
35,191,90,24,108,40.3,162
32,202,99,27,115,40.5,212
38,156,56,20,94,40.8,101
58,190,87,23,98,40.9,145
46,168,64,2,85,37.7,8
25,171,70,11,92,40,49
23,158,54,9,92,39.4,42
24,167,68,18,93,40.6,82
38,170,65,3,85,39.1,12
29,147,48,17,98,40.6,93
79,163,63,8,86,39.9,39
37,171,66,25,106,40.7,155
22,156,58,16,102,40.4,90
20,182,82,20,92,40.2,69
57,167,68,18,114,40.4,133
58,198,96,12,92,39.7,67
32,144,49,5,90,39,23
32,174,69,2,77,38.2,6
42,157,55,27,113,40.9,194
50,151,51,2,79,38.4,8
44,172,75,12,93,40,58
27,174,75,21,106,40.6,120
38,178,70,13,89,40.2,57
23,173,68,18,97,40.1,89
31,156,58,16,101,40.1,91
52,148,55,22,105,40.5,143
46,181,82,24,104,41,156
56,160,60,5,89,39,24
39,177,74,6,78,39.1,19
66,188,98,26,114,40.7,242
62,171,78,22,103,40.5,135
63,158,61,3,87,38.5,14
77,151,52,28,103,40.6,190
54,184,79,23,92,40.9,111
43,146,51,9,94,39.2,47
30,177,82,28,107,40.7,173
74,184,87,20,101,40.5,150
25,164,62,8,85,39.5,30
43,190,98,17,107,40.2,122
40,181,91,29,111,41,216
61,166,69,28,114,40.9,208
56,168,66,3,85,38.7,13
67,172,72,8,89,39.3,39
72,151,60,11,92,40.1,59
32,193,96,21,111,40.8,151
51,177,76,1,76,37.8,2
67,166,64,17,90,40.3,86
65,158,63,19,97,40.3,113
35,194,91,23,112,41,170
32,187,90,7,90,39.4,27
57,184,78,3,71,39,6
50,158,59,24,101,40.7,144
24,174,72,8,91,39.8,34
55,167,66,14,87,40,63
23,194,97,15,101,40,79
79,172,75,11,89,40.1,62
35,174,76,12,97,40.2,57
31,171,71,3,83,38.4,11
35,182,89,24,108,40.8,161
70,156,62,8,87,39.4,38
65,198,96,5,85,39.1,24
58,160,56,22,99,40.6,131
22,173,79,29,115,40.7,201
24,173,68,20,99,40.2,104
49,158,61,27,106,41,175
26,171,65,11,101,40,60
21,187,92,4,81,38.5,8
23,191,86,29,115,40.9,207
39,159,62,15,93,40,74
33,170,76,20,100,40.4,103
28,160,57,3,81,38.8,10
70,164,63,12,94,40.4,67
38,182,85,8,84,39.8,25
27,192,90,16,88,39.8,54
53,179,84,14,93,40,73
38,174,73,17,100,40.3,93
54,169,66,6,85,39.4,26
32,173,77,16,97,40,75
